match_id,team_name,team_id,account_id,match_date,competition,season,match_week,competition_stage,home_team,away_team,np_xg,np_shots,obv_shot,xgchain,goals,Goal Envolvement Index (norm),Goal Conversion Index (norm),Possession GoalChance Index (norm),Goal Performance Index,match_score
3980910,Coquimbo Unido,1914,7336,2025-03-01,Chile - Primera División,2025,3,Regular Season,Deportes Limache,Coquimbo Unido,1.467695767,16.0,-0.2589896760000001,5.965504004,2.0,4.1047462193671755,2.9291876236555887,4.1256898803618505,6.552311865818462,Deportes Limache(1) - Coquimbo Unido(2)
3980910,Deportes Limache,30140,7336,2025-03-01,Chile - Primera División,2025,3,Regular Season,Deportes Limache,Coquimbo Unido,0.433984695,7.0,-0.280473061,2.175026191,1.0,4.159242062416763,2.9145842283534975,1.789425652802532,6.0707585810995885,Deportes Limache(1) - Coquimbo Unido(2)
3980911,Audax Italiano,1918,7336,2025-03-01,Chile - Primera División,2025,3,Regular Season,Palestino,Audax Italiano,1.174537122,10.0,0.07203028899999996,5.481556558,2.0,2.4469791182083522,4.606163795575353,6.1316610616493055,7.24547332189608,Palestino(0) - Audax Italiano(2)
3980911,Palestino,1925,7336,2025-03-01,Chile - Primera División,2025,3,Regular Season,Palestino,Audax Italiano,1.352051331,18.0,-1.188497354,9.24373495,0.0,5.655646388701255,1.4366633715181716,5.393839087803877,6.60206342247824,Palestino(0) - Audax Italiano(2)
3980912,La Serena,1920,7336,2025-03-01,Chile - Primera División,2025,3,Regular Season,La Serena,Unión Española,0.7821278229999999,20.0,-0.164508748,4.44771843,1.0,5.36893815592385,1.9199560405993628,5.024630324660285,6.662723926293605,La Serena(1) - Unión Española(0)
3980912,Unión Española,1921,7336,2025-03-01,Chile - Primera División,2025,3,Regular Season,La Serena,Unión Española,0.360942513,10.0,0.426888288,1.798390035,0.0,3.318678892791536,2.0065290712732873,3.2762063029129873,5.68819264262425,La Serena(1) - Unión Española(0)
3980913,O'Higgins,1962,7336,2025-03-03,Chile - Primera División,2025,3,Regular Season,Unión La Calera,O'Higgins,1.522461638,14.0,-0.347961387,5.561038214,2.0,4.179740456298708,3.764084714215287,3.373345177961612,6.8130834672408565,Unión La Calera(2) - O'Higgins(2)
3980913,Unión La Calera,1954,7336,2025-03-03,Chile - Primera División,2025,3,Regular Season,Unión La Calera,O'Higgins,0.9852909584,17.0,-0.575391425,4.86484224,2.0,4.291361930936882,2.5365066442219257,4.490097599134179,6.501953777902912,Unión La Calera(2) - O'Higgins(2)
3980914,Deportivo Ñublense SADP,5102,7336,2025-03-02,Chile - Primera División,2025,3,Regular Season,Everton,Deportivo Ñublense SADP,0.7023202980000001,6.0,0.24503218,2.654974138,2.0,1.9993495992699266,8.153891840133255,2.812164352032941,8.085777977102664,Everton(1) - Deportivo Ñublense SADP(2)
3980914,Everton,1919,7336,2025-03-02,Chile - Primera División,2025,3,Regular Season,Everton,Deportivo Ñublense SADP,1.736400856,19.0,-1.1451808134,8.39667659,1.0,4.693253056673156,2.5991911760060886,5.128268830044696,6.792911276014342,Everton(1) - Deportivo Ñublense SADP(2)
